,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
51,The Prestige,2006,130,"Drama, Mystery, Thriller            ",8.5,150064,1.74,0,0,1,0,0,1,0,1,0,0,0
52,Inglourious Basterds,2009,153,"Adventure, Drama, War            ",8.3,89237,37.74,0,0,1,0,0,0,0,0,1,0,1
53,Evil Dead II,1987,84,"Comedy, Horror            ",7.7,146982,80.25,0,1,0,0,1,0,0,0,0,0,0
54,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi            ",8.2,111617,86.93,1,0,0,0,0,0,1,0,1,0,0
55,Batman Begins,2005,140,"Action, Crime, Drama            ",8.3,413872,56.82,1,0,1,1,0,0,0,0,0,0,0
56,The Green Mile,1999,189,"Crime, Drama, Fantasy            ",8.6,237169,77.32,0,0,1,1,0,0,0,0,0,0,0
57,The French Connection,1971,104,"Action, Crime, Drama            ",7.7,166843,82.16,1,0,1,1,0,0,0,0,0,0,0
58,Unforgiven,1992,130,"Drama, Western            ",8.2,11174,16.64,0,0,1,0,0,0,0,0,0,0,0
59,The Shining,1980,146,"Drama, Horror            ",8.4,4992,2.33,0,1,1,0,0,0,0,0,0,0,0
60,The Evil Dead,1981,85,Horror            ,7.4,98149,34.6,0,1,0,0,0,0,0,0,0,0,0
61,Forrest Gump,1994,142,"Drama, Romance            ",8.8,86641,4.17,0,0,1,0,0,0,0,0,0,0,0
62,The Thing,1982,109,"Horror, Mystery, Sci-Fi            ",8.2,247069,53.33,0,1,0,0,0,0,1,1,0,0,0
63,Citizen Kane,1941,119,"Drama, Mystery            ",8.3,51401,50.61,0,0,1,0,0,0,0,1,0,0,0
64,Blue Velvet,1986,120,"Crime, Drama, Mystery            ",7.7,1016751,422.78,0,0,1,1,0,0,0,1,0,0,0
65,The Wicker Man,1973,88,"Horror, Mystery, Thriller            ",7.5,42693,2.91,0,1,0,0,0,1,0,1,0,0,0
66,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi            ",8.3,337259,0.27,0,0,1,0,0,0,1,0,0,0,0
67,The Princess Bride,1987,98,"Adventure, Family, Fantasy            ",8.0,51453,8.41,0,0,0,0,0,0,0,0,1,0,0
68,A Clockwork Orange,1971,136,"Crime, Sci-Fi            ",8.3,245779,8.7,0,0,0,1,0,0,1,0,0,0,0
69,Go,1999,102,"Comedy, Crime            ",7.2,157097,35.1,0,0,0,1,1,0,0,0,0,0,0
70,Stand by Me,1986,89,"Adventure, Drama            ",8.1,599110,218.82,0,0,1,0,0,0,0,0,1,0,0
71,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama            ",9.0,425109,109.45,1,0,1,0,0,0,0,0,1,0,0
72,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi            ",8.6,168326,102.27,1,0,0,0,0,0,1,0,0,0,0
73,Toy Story 2,1999,92,"Animation, Adventure, Comedy            ",7.9,224016,163.21,0,0,0,0,1,0,0,0,1,0,0
